start_index,start_time,can_tapper_id,start_color,V_pre_total_1_10V,V_min_total_1_10V,V_ocv_total_1_10V,V_drop_total_pct,soc_pct_est_pack,soc_pct_est_ocv_pack,V_ocv_slope_mV_per_s_max,n_ocv_samples_min,temp_avg_start_C,I_pre_A,I_load_A,delta_I_A,t_load_s,I_mean_post_A,I_max_post_A,t_charge_onset_s,R_internal_est_ohm_pack,R_internal_est_ohm_min_voltage_method_pack,R_internal_est_ohm_from_ocv_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max,tau_relax_s_median,relax_fit_r2_min,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,t_before_s,t_after_s
41,2026-05-06 12:17:14.845104,can_tapper30,"rgb(255,255,51)",498.0,449.0,500.0,9.839357429718875,83.87499999999999,90.0,2.4663477628206127,1500,10.475,0.0,476.0,476.0,1.20029,-20.533546325878593,142.0,2.198231,0.008193277310924368,0.010294117647058825,0.00861344537815126,7.592190889370933,0.7112712897828093,1.5000000000002345,2.565174071178317,0.7146810849633292,59.981373,119.884871,3560.180132,2159,435,565,60.0,120.0
42,2026-05-06 12:54:14.564120,can_tapper30,"rgb(166,86,40)",511.0,455.0,515.0,10.95890410958904,100.0,100.0,4.084410704181996,1500,13.02,17.0,335.0,318.0,1.082543,-13.996527777777779,20.0,2.080578,0.011320754716981133,0.01761006289308176,0.012578616352201259,9.917355371900827,0.9623351281301931,1.5000000000002345,1.7887444673306678,0.4082345819117149,59.978847,119.875416,2219.719016,2157,425,429,60.0,120.0
43,2026-05-06 13:15:33.626307,can_tapper30,"rgb(247,129,191)",505.0,470.0,508.0,6.9306930693069315,96.25,100.0,5.194642308728606,1500,11.6625,0.0,430.0,430.0,1.0562,-16.355311355311354,20.0,2.056794,0.006744186046511628,0.00813953488372093,0.007441860465116279,5.042016806722689,0.9443777549603289,0.5000000000000782,1.7887444673306678,0.37431780916480395,59.884001,119.933426,1279.062187,2159,367,453,60.0,120.0
44,2026-05-06 13:35:46.455172,can_tapper30,"rgb(153,153,153)",507.0,465.0,511.0,8.284023668639055,98.75,100.0,5.26194900530968,1500,13.566666666666666,18.0,284.0,266.0,1.3854,-14.479310344827587,18.0,2.983374,0.014661654135338344,0.015789473684210527,0.016165413533834588,8.333333333333334,0.8872530557843046,1.0000000000001563,1.7887444673306678,0.27698986872212294,59.998395,119.936129,1212.828865,2160,444,611,60.0,120.0
45,2026-05-06 15:10:03.232217,can_tapper30,"rgb(228,26,28)",499.0,442.0,500.0,11.422845691382765,87.00000000000001,90.0,0.010453337979123841,1500,11.45,17.0,335.0,318.0,1.127568,-33.52063492063492,144.0,2.129275,0.012264150943396227,0.017924528301886792,0.012578616352201259,6.557377049180328,0.9280679002321797,1.0200000000001594,2.27471676670449,0.6950461024509811,59.930177,119.931424,5656.777045,2159,454,652,60.0,120.0
46,2026-06-03 20:18:53.237824,can_tapper30,"rgb(55,126,184)",515.0,464.0,522.0,9.902912621359224,100.0,100.0,5.101095600485663,1500,18.075,0.0,287.0,287.0,1.235569,-11.88888888888889,25.0,2.333893,0.012195121951219513,0.017770034843205575,0.014634146341463415,12.127236580516898,0.8140078092626479,1.0000000000001563,58.350444692249376,0.4708211151484626,59.924399,119.802759,2437730.005607,2157,201,268,60.0,120.0
47,2026-06-04 00:29:51.714723,can_tapper30,"rgb(77,175,74)",496.0,451.0,500.0,9.07258064516129,78.00000000000004,90.0,6.407949514643191,1500,20.0,0.0,409.0,409.0,0.443007,-26.73384030418251,327.0,2.044183,0.004156479217603913,0.01100244498777506,0.005134474327628362,8.074534161490684,1.7630366835356623,1.0000000000001563,74.20329583699333,0.10144781956960935,59.969343,119.953568,15058.476899,2160,380,503,60.0,120.0
48,2026-06-04 00:31:37.169431,can_tapper30,"rgb(152,78,163)",507.0,462.0,516.0,8.875739644970414,98.75,100.0,11.19566719807225,1500,20.09166666666667,23.0,327.0,304.0,1.245645,-47.56666666666667,26.0,2.34686,0.013157894736842106,0.014802631578947371,0.01611842105263158,7.7894736842105265,0.967212372593689,1.0000000000001563,2.27471676670449,0.5860561490679868,59.89295,119.978524,105.454708,2159,407,652,60.0,120.0
49,2026-06-04 00:48:24.846821,can_tapper30,"rgb(255,127,0)",516.0,459.0,520.0,11.046511627906977,100.0,100.0,3.634099392932639,1500,20.30833333333333,0.0,485.0,485.0,0.44898,-27.0390625,23.0,2.047527,0.003917525773195876,0.011752577319587629,0.004536082474226804,10.040160642570282,2.1617712692411404,1.5000000000002345,95.04527461955671,0.4255196122962276,59.897044,119.984848,1007.67739,2160,159,295,60.0,120.0
50,2026-06-04 01:08:39.275721,can_tapper30,"rgb(255,255,51)",508.0,454.0,515.0,10.62992125984252,100.0,100.0,5.272597898931402,1500,20.075,0.0,403.0,403.0,1.062501,-31.377551020408163,31.0,2.062902,0.007692307692307692,0.013399503722084368,0.009429280397022333,12.5,2.0062878178939485,1.0000000000001563,1.7887444673306678,0.6724748241991266,59.919198,119.96295,1214.4289,2160,345,533,60.0,120.0
51,2026-06-04 01:11:21.652858,can_tapper30,"rgb(166,86,40)",516.0,461.0,524.0,10.65891472868217,100.0,100.0,11.075889367060011,1500,20.14666666666667,21.5,318.0,296.5,1.141037,-17.105263157894736,38.0,2.230663,0.01247892074198988,0.01854974704890388,0.015177065767284992,5.128205128205129,0.5081657070353315,1.0200000000001594,119.99999999999996,0.5579606401244709,59.997943,119.878938,162.377137,2159,318,543,60.0,120.0
52,2026-06-04 01:16:16.248821,can_tapper30,"rgb(247,129,191)",508.0,450.0,511.0,11.41732283464567,100.0,100.0,4.171761854115548,1500,20.085,0.0,395.0,395.0,1.114698,-20.90829694323144,30.0,2.209274,0.010632911392405063,0.014683544303797468,0.01139240506329114,9.956709956709958,0.8585707327699579,1.0000000000001563,119.99999999999996,0.48904690394781325,59.987762,119.858698,294.595963,2160,302,343,60.0,120.0
53,2026-06-04 01:30:13.061061,can_tapper30,"rgb(153,153,153)",503.0,448.0,504.0,10.934393638170974,93.75,95.0,2.388125505833079,1500,20.134999999999998,0.0,343.0,343.0,1.222757,-43.286206896551725,26.0,2.217108,0.009912536443148687,0.016034985422740525,0.010204081632653062,9.803921568627452,1.042619994251182,1.0000000000001563,2.565174071178317,0.739038952767374,59.86895,119.994706,836.81224,2159,338,446,60.0,120.0
54,2026-06-04 02:09:29.228633,can_tapper30,"rgb(228,26,28)",511.0,467.0,512.0,8.610567514677104,100.0,100.0,3.0753969223980486,1500,20.025,0.0,483.0,483.0,0.991745,-28.253968253968253,17.0,2.092924,0.007660455486542443,0.009109730848861283,0.007867494824016562,8.130081300813009,1.21104371745791,1.0000000000001563,2.0171482422437275,0.6901433264397525,59.904929,119.981876,2356.167572,2159,417,478,60.0,120.0
55,2026-06-04 02:44:58.683046,can_tapper30,"rgb(55,126,184)",511.0,450.0,515.0,11.937377690802348,100.0,100.0,5.114828939923368,1500,19.821428571428573,0.0,490.0,490.0,0.382128,-20.679180887372013,24.0,2.38323,0.00489795918367347,0.012448979591836735,0.005714285714285715,11.67728237791932,1.9709619087370642,1.0000000000001563,2.0171482422437275,0.7871427464593665,59.962994,119.906235,2129.454413,2159,417,686,60.0,120.0
