timestamp,voltage,current,temperature,humidity
2026-08-03T09:37:26.049406,13.33,9.89,23.2,52.3
2026-08-03T09:37:26.119032,13.33,9.88,23.2,52.3
2026-08-03T09:37:26.191936,13.33,9.89,23.2,52.3
2026-08-03T09:37:26.262290,13.33,9.88,23.2,52.3
2026-08-03T09:37:26.331958,13.33,9.88,23.2,52.3
2026-08-03T09:37:26.401815,13.33,9.88,23.2,52.3
2026-08-03T09:37:26.474417,13.33,9.86,23.2,52.3
2026-08-03T09:37:26.647699,13.33,9.88,23.2,52.3
2026-08-03T09:37:26.719316,13.33,9.88,23.2,52.3
2026-08-03T09:37:26.786774,13.33,9.87,23.2,52.3
2026-08-03T09:37:26.859471,13.33,9.88,23.2,52.3
2026-08-03T09:37:26.930139,13.33,9.89,23.2,52.3
2026-08-03T09:37:26.999789,13.33,9.88,23.2,52.3
2026-08-03T09:37:27.069193,13.33,9.87,23.2,52.3
2026-08-03T09:37:27.142201,13.33,9.89,23.2,52.3
2026-08-03T09:37:27.212380,13.33,9.9,23.2,52.3
2026-08-03T09:37:27.282402,13.33,9.89,23.2,52.3
2026-08-03T09:37:27.351838,13.33,9.89,23.2,52.3
2026-08-03T09:37:27.424523,13.33,9.9,23.2,52.3
2026-08-03T09:37:27.494710,13.33,9.92,23.2,52.3
2026-08-03T09:37:27.667410,13.33,9.88,23.2,52.3
2026-08-03T09:37:27.736981,13.33,9.9,23.2,52.3
2026-08-03T09:37:27.809687,13.33,9.9,23.2,52.3
2026-08-03T09:37:27.879995,13.33,9.88,23.2,52.3
2026-08-03T09:37:27.949793,13.33,9.89,23.2,52.3
2026-08-03T09:37:28.019446,13.33,9.88,23.2,52.3
2026-08-03T09:37:28.092073,13.33,9.88,23.2,52.3
2026-08-03T09:37:28.162377,13.33,9.89,23.2,52.3
2026-08-03T09:37:28.232393,13.33,9.87,23.2,52.3
2026-08-03T09:37:28.301845,13.33,9.87,23.2,52.3
2026-08-03T09:37:28.374744,13.33,9.9,23.2,52.3
2026-08-03T09:37:28.444959,13.33,9.91,23.2,52.3
2026-08-03T09:37:28.515085,13.33,9.89,23.2,52.3
2026-08-03T09:37:28.687399,13.33,9.88,23.2,52.3
2026-08-03T09:37:28.759707,13.33,9.9,23.2,52.3
2026-08-03T09:37:28.829878,13.33,9.9,23.2,52.3
2026-08-03T09:37:28.899972,13.33,9.91,23.2,52.3
2026-08-03T09:37:28.969827,13.33,9.88,23.2,52.3
2026-08-03T09:37:29.042292,13.33,9.88,23.2,52.3
2026-08-03T09:37:29.112632,13.33,9.9,23.2,52.3
2026-08-03T09:37:29.182839,13.33,9.9,23.2,52.3
2026-08-03T09:37:29.252261,13.33,9.9,23.2,52.3
2026-08-03T09:37:29.324779,13.33,9.89,23.2,52.3
2026-08-03T09:37:29.395074,13.33,9.89,23.2,52.3
2026-08-03T09:37:29.465266,13.33,9.9,23.2,52.3
2026-08-03T09:37:29.535034,13.33,9.89,23.2,52.3
2026-08-03T09:37:29.710128,13.33,9.9,23.2,52.3
2026-08-03T09:37:29.780125,13.33,9.9,23.2,52.3
2026-08-03T09:37:29.850455,13.33,9.88,23.2,52.3
2026-08-03T09:37:29.920284,13.33,9.88,23.2,52.3
2026-08-03T09:37:29.992393,13.33,9.89,23.2,52.3
2026-08-03T09:37:30.062672,13.33,9.91,23.2,52.3
2026-08-03T09:37:30.132972,13.33,9.89,23.2,52.3
2026-08-03T09:37:30.202677,13.33,9.89,23.2,52.3
2026-08-03T09:37:30.274922,13.33,9.89,23.2,52.3
2026-08-03T09:37:30.345184,13.33,9.89,23.2,52.3
2026-08-03T09:37:30.415616,13.33,9.87,23.2,52.3
2026-08-03T09:37:30.485243,13.33,9.89,23.2,52.3
2026-08-03T09:37:30.557449,13.33,9.89,23.2,52.3
2026-08-03T09:37:30.730479,13.33,9.89,23.2,52.3
2026-08-03T09:37:30.800624,13.33,9.88,23.2,52.3
2026-08-03T09:37:30.870130,13.33,9.88,23.2,52.3
2026-08-03T09:37:30.942575,13.33,9.89,23.2,52.3
2026-08-03T09:37:31.012927,13.33,9.88,23.2,52.3
2026-08-03T09:37:31.083114,13.33,9.9,23.2,52.3
2026-08-03T09:37:31.152658,13.33,9.88,23.2,52.3
2026-08-03T09:37:31.225091,13.33,9.88,23.2,52.3
2026-08-03T09:37:31.295413,13.33,9.87,23.2,52.3
2026-08-03T09:37:31.365640,13.33,9.88,23.2,52.3
2026-08-03T09:37:31.435542,13.33,9.88,23.2,52.3
2026-08-03T09:37:31.504996,13.33,9.9,23.2,52.3
2026-08-03T09:37:31.577903,13.33,9.9,23.2,52.3
2026-08-03T09:37:31.750940,13.33,9.92,23.2,52.3
2026-08-03T09:37:31.820317,13.33,9.9,23.2,52.3
2026-08-03T09:37:31.892641,13.33,9.88,23.2,52.3
2026-08-03T09:37:31.963037,13.33,9.89,23.2,52.3
2026-08-03T09:37:32.033271,13.33,9.89,23.2,52.3
2026-08-03T09:37:32.102921,13.33,9.87,23.2,52.3
2026-08-03T09:37:32.172742,13.33,9.88,23.2,52.3
2026-08-03T09:37:32.245553,13.33,9.86,23.2,52.3
2026-08-03T09:37:32.316105,13.33,9.88,23.2,52.3
2026-08-03T09:37:32.385699,13.33,9.89,23.2,52.3
2026-08-03T09:37:32.455224,13.33,9.89,23.2,52.3
2026-08-03T09:37:32.527915,13.33,9.89,23.2,52.3
2026-08-03T09:37:32.598227,13.33,9.9,23.2,52.3
2026-08-03T09:37:32.770879,13.33,9.89,23.2,52.3
2026-08-03T09:37:32.840343,13.33,9.91,23.2,52.3
2026-08-03T09:37:32.913254,13.33,9.9,23.2,52.3
2026-08-03T09:37:32.983567,13.33,9.91,23.2,52.3
2026-08-03T09:37:33.053089,13.33,9.92,23.2,52.3
2026-08-03T09:37:33.123103,13.33,9.9,23.2,52.3
2026-08-03T09:37:33.195618,13.33,9.91,23.2,52.3
2026-08-03T09:37:33.266023,13.33,9.9,23.2,52.3
2026-08-03T09:37:33.335990,13.33,9.9,23.2,52.3
2026-08-03T09:37:33.405539,13.33,9.89,23.2,52.3
2026-08-03T09:37:33.478084,13.33,9.89,23.2,52.3
2026-08-03T09:37:33.548678,13.33,9.88,23.2,52.3
2026-08-03T09:37:33.618591,13.33,9.88,23.2,52.3
2026-08-03T09:37:33.790647,13.33,9.88,23.2,52.3
2026-08-03T09:37:33.863127,13.33,9.88,23.2,52.3
2026-08-03T09:37:33.933400,13.33,9.88,23.2,52.3
2026-08-03T09:37:34.003541,13.33,9.9,23.2,52.3
2026-08-03T09:37:34.073013,13.33,9.91,23.2,52.3
2026-08-03T09:37:34.145718,13.33,9.92,23.2,52.3
2026-08-03T09:37:34.215910,13.33,9.89,23.2,52.3
2026-08-03T09:37:34.285784,13.33,9.92,23.2,52.3
2026-08-03T09:37:34.355562,13.33,9.91,23.2,52.3
2026-08-03T09:37:34.428216,13.33,9.92,23.2,52.3
2026-08-03T09:37:34.498640,13.33,9.91,23.2,52.3
2026-08-03T09:37:34.568757,13.33,9.91,23.2,52.3
2026-08-03T09:37:34.638225,13.33,9.9,23.2,52.3
2026-08-03T09:37:34.813400,13.33,9.93,23.2,52.3
2026-08-03T09:37:34.883735,13.33,9.91,23.2,52.3
2026-08-03T09:37:34.953796,13.33,9.92,23.2,52.3
2026-08-03T09:37:35.023261,13.33,9.93,23.2,52.3
2026-08-03T09:37:35.095823,13.33,9.9,23.2,52.3
2026-08-03T09:37:35.166291,13.33,9.91,23.2,52.3
2026-08-03T09:37:35.236173,13.33,9.88,23.2,52.3
2026-08-03T09:37:35.305757,13.33,9.89,23.2,52.3
2026-08-03T09:37:35.378399,13.33,9.9,23.2,52.3
2026-08-03T09:37:35.448681,13.33,9.94,23.2,52.3
2026-08-03T09:37:35.518794,13.33,9.92,23.2,52.3
2026-08-03T09:37:35.588589,13.33,9.92,23.2,52.3
2026-08-03T09:37:35.660901,13.33,9.93,23.2,52.3
2026-08-03T09:37:35.833912,13.33,9.91,23.2,52.3
2026-08-03T09:37:35.903953,13.33,9.89,23.2,52.3
2026-08-03T09:37:35.973528,13.33,9.9,23.2,52.3
2026-08-03T09:37:36.046008,13.33,9.91,23.2,52.3
2026-08-03T09:37:36.116361,13.33,9.92,23.2,52.3
2026-08-03T09:37:36.186431,13.33,9.92,23.2,52.3
2026-08-03T09:37:36.255990,13.33,9.9,23.2,52.3
2026-08-03T09:37:36.328553,13.33,9.89,23.2,52.3
2026-08-03T09:37:36.398814,13.33,9.89,23.2,52.3
2026-08-03T09:37:36.468966,13.33,9.9,23.2,52.3
2026-08-03T09:37:36.538872,13.33,9.89,23.2,52.3
2026-08-03T09:37:36.610991,13.33,9.89,23.2,52.3
2026-08-03T09:37:36.681198,13.33,9.9,23.2,52.3
2026-08-03T09:37:36.854642,13.33,9.9,23.2,52.3
2026-08-03T09:37:36.923672,13.33,9.91,23.2,52.3
2026-08-03T09:37:36.996090,13.33,9.89,23.2,52.3
2026-08-03T09:37:37.066761,13.33,9.89,23.2,52.3
2026-08-03T09:37:37.136729,13.33,9.9,23.2,52.3
2026-08-03T09:37:37.206251,13.33,9.9,23.2,52.3
2026-08-03T09:37:37.278710,13.33,9.9,23.2,52.3
2026-08-03T09:37:37.348899,13.33,9.91,23.2,52.3
2026-08-03T09:37:37.419172,13.33,9.9,23.2,52.3
2026-08-03T09:37:37.489038,13.33,9.89,23.2,52.3
2026-08-03T09:37:37.558686,13.33,9.87,23.2,52.3
2026-08-03T09:37:37.631388,13.33,9.88,23.2,52.3
2026-08-03T09:37:37.701681,13.33,9.88,23.2,52.3
2026-08-03T09:37:37.874046,13.33,9.9,23.2,52.3
2026-08-03T09:37:37.946160,13.33,9.91,23.2,52.3
2026-08-03T09:37:38.016529,13.33,9.91,23.2,52.3
2026-08-03T09:37:38.087037,13.33,9.91,23.2,52.3
2026-08-03T09:37:38.156647,13.33,9.88,23.2,52.3
2026-08-03T09:37:38.226339,13.33,9.89,23.2,52.3
2026-08-03T09:37:38.298945,13.33,9.9,23.2,52.3
2026-08-03T09:37:38.369291,13.33,9.9,23.2,52.3
2026-08-03T09:37:38.439161,13.33,9.88,23.2,52.3
2026-08-03T09:37:38.508895,13.33,9.91,23.2,52.3
2026-08-03T09:37:38.581368,13.33,9.89,23.2,52.3
2026-08-03T09:37:38.651576,13.33,9.9,23.2,52.3
2026-08-03T09:37:38.721848,13.33,9.89,23.2,52.3
2026-08-03T09:37:38.894082,13.33,9.87,23.2,52.3
2026-08-03T09:37:38.966560,13.33,9.87,23.2,52.3
2026-08-03T09:37:39.036671,13.33,9.9,23.2,52.3
2026-08-03T09:37:39.106928,13.33,9.87,23.2,52.3
2026-08-03T09:37:39.176304,13.33,9.9,23.2,52.3
2026-08-03T09:37:39.248982,13.33,9.88,23.2,52.3
2026-08-03T09:37:39.319337,13.33,9.89,23.2,52.3
2026-08-03T09:37:39.389301,13.33,9.89,23.2,52.3
2026-08-03T09:37:39.458902,13.33,9.89,23.2,52.3
2026-08-03T09:37:39.531477,13.33,9.9,23.2,52.3
2026-08-03T09:37:39.601834,13.33,9.9,23.2,52.3
2026-08-03T09:37:39.672055,13.33,9.92,23.2,52.3
2026-08-03T09:37:39.741663,13.33,9.93,23.2,52.3
2026-08-03T09:37:39.916592,13.33,9.9,23.2,52.3
2026-08-03T09:37:39.987086,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.057123,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.126684,13.33,9.9,23.2,52.3
2026-08-03T09:37:40.199026,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.269473,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.339414,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.409301,13.33,9.92,23.2,52.3
2026-08-03T09:37:40.481748,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.551914,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.622089,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.691625,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.764048,13.33,9.91,23.2,52.3
2026-08-03T09:37:40.937022,13.33,9.91,23.2,52.3
2026-08-03T09:37:41.007238,13.33,9.9,23.2,52.3
2026-08-03T09:37:41.076879,13.33,9.92,23.2,52.3
2026-08-03T09:37:41.149237,13.33,9.9,23.2,52.3
2026-08-03T09:37:41.219521,13.33,9.92,23.2,52.3
2026-08-03T09:37:41.289862,13.33,9.9,23.2,52.3
