start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
77,2022-11-10 10:00:06.095301,can_tapper14,2022-11-10 09:59:06.095301,2022-11-10 10:02:06.095301,10.925,59.926327,119.954952,7496.026184,2159,381,717,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-10-09-41-02.pcap.gz
78,2022-11-10 11:00:10.050478,can_tapper14,2022-11-10 10:59:10.050478,2022-11-10 11:02:10.050478,10.15,59.863094,119.806848,3603.955177,2157,336,438,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-10-10-41-02.pcap.gz
79,2022-11-10 11:28:01.418801,can_tapper14,2022-11-10 11:27:01.418801,2022-11-10 11:30:01.418801,11.925,59.941856,119.967201,1671.368323,2159,419,767,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-10-10-41-02.pcap.gz
80,2022-11-10 13:08:56.241053,can_tapper14,2022-11-10 13:07:56.241053,2022-11-10 13:10:56.241053,12.129999999999999,59.949623,119.994669,6054.822252,2159,394,577,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-10-12-41-02.pcap.gz
81,2022-11-10 13:56:04.866766,can_tapper14,2022-11-10 13:55:04.866766,2022-11-10 13:58:04.866766,12.805000000000001,59.993898,119.854972,2828.625713,2159,411,480,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-10-13-41-02.pcap.gz
82,2022-11-10 14:24:50.201009,can_tapper14,2022-11-10 14:23:50.201009,2022-11-10 14:26:50.201009,13.12,59.988648,119.964875,1725.334243,2160,451,703,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-10-13-41-02.pcap.gz
83,2022-11-11 07:37:17.820667,can_tapper14,2022-11-11 07:36:17.820667,2022-11-11 07:39:17.820667,9.716071428571428,59.834301,119.979921,61947.619658,2158,414,674,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-11-07-36-03.pcap.gz
84,2022-11-11 10:29:21.300255,can_tapper14,2022-11-11 10:28:21.300255,2022-11-11 10:31:21.300255,,3.09505,119.959008,10323.479588,2954,646,1011,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-11-10-29-17.pcap.gz
85,2022-11-11 10:29:21.300255,can_tapper14,2022-11-11 10:28:21.300255,2022-11-11 10:31:21.300255,,3.09505,119.959008,0.0,2954,646,1011,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-11-10-29-17.pcap.gz
86,2022-11-11 17:02:13.012908,can_tapper14,2022-11-11 17:01:13.012908,2022-11-11 17:04:13.012908,12.791666666666668,59.96497,119.978851,23571.712653,3741,824,1185,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-11-17-02-02.pcap.gz
