start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
652,2024-06-26 13:49:48.463032,can_tapper14,2024-06-26 13:49:46.358896,-2.104136,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
652,2024-06-26 13:49:48.463032,can_tapper14,2024-06-26 13:49:50.082973,1.619941,Engine running command,Engine Status,status,"rgb(255,127,0)"
653,2024-08-09 09:43:44.530356,can_tapper14,2024-08-09 09:43:44.530356,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
653,2024-08-09 09:43:44.530356,can_tapper14,2024-08-09 09:43:44.870451,0.340095,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
653,2024-08-09 09:43:44.530356,can_tapper14,2024-08-09 09:43:46.117368,1.587012,Engine running command,Engine Status,status,"rgb(255,255,51)"
654,2024-08-21 14:43:09.433689,can_tapper14,2024-08-21 14:43:09.433689,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
654,2024-08-21 14:43:09.433689,can_tapper14,2024-08-21 14:43:07.428201,-2.005488,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
654,2024-08-21 14:43:09.433689,can_tapper14,2024-08-21 14:43:10.885506,1.451817,Engine running command,Engine Status,status,"rgb(166,86,40)"
655,2024-08-21 15:00:14.013099,can_tapper14,2024-08-21 15:00:14.013099,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
655,2024-08-21 15:00:14.013099,can_tapper14,2024-08-21 15:00:11.908005,-2.105094,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
655,2024-08-21 15:00:14.013099,can_tapper14,2024-08-21 15:00:15.595886,1.582787,Engine running command,Engine Status,status,"rgb(247,129,191)"
656,2024-08-21 16:18:32.927268,can_tapper14,2024-08-21 16:18:32.927268,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
656,2024-08-21 16:18:32.927268,can_tapper14,2024-08-21 16:18:30.622188,-2.30508,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
656,2024-08-21 16:18:32.927268,can_tapper14,2024-08-21 16:18:34.343959,1.416691,Engine running command,Engine Status,status,"rgb(153,153,153)"
657,2024-08-21 18:36:15.448232,can_tapper14,2024-08-21 18:36:15.448232,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
657,2024-08-21 18:36:15.448232,can_tapper14,2024-08-21 18:36:13.341960,-2.106272,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
657,2024-08-21 18:36:15.448232,can_tapper14,2024-08-21 18:36:16.871452,1.42322,Engine running command,Engine Status,status,"rgb(228,26,28)"
658,2024-08-21 18:47:47.615137,can_tapper14,2024-08-21 18:47:47.615137,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
658,2024-08-21 18:47:47.615137,can_tapper14,2024-08-21 18:47:45.308076,-2.307061,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
658,2024-08-21 18:47:47.615137,can_tapper14,2024-08-21 18:47:49.047654,1.432517,Engine running command,Engine Status,status,"rgb(55,126,184)"
659,2024-08-27 12:58:43.776416,can_tapper14,2024-08-27 12:58:43.776416,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
659,2024-08-27 12:58:43.776416,can_tapper14,2024-08-27 12:58:41.670621,-2.105795,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
659,2024-08-27 12:58:43.776416,can_tapper14,2024-08-27 12:58:45.299713,1.523297,Engine running command,Engine Status,status,"rgb(77,175,74)"
660,2024-08-27 13:06:05.508688,can_tapper14,2024-08-27 13:06:05.508688,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
660,2024-08-27 13:06:05.508688,can_tapper14,2024-08-27 13:06:03.402310,-2.106378,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
660,2024-08-27 13:06:05.508688,can_tapper14,2024-08-27 13:06:07.047832,1.539144,Engine running command,Engine Status,status,"rgb(152,78,163)"
661,2024-08-29 07:30:01.262711,can_tapper14,2024-08-29 07:30:01.262711,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
661,2024-08-29 07:30:01.262711,can_tapper14,2024-08-29 07:29:59.058537,-2.204174,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
661,2024-08-29 07:30:01.262711,can_tapper14,2024-08-29 07:30:02.926630,1.663919,Engine running command,Engine Status,status,"rgb(255,127,0)"
662,2024-08-29 07:57:10.337481,can_tapper14,2024-08-29 07:57:10.337481,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
662,2024-08-29 07:57:10.337481,can_tapper14,2024-08-29 07:57:08.021301,-2.31618,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
662,2024-08-29 07:57:10.337481,can_tapper14,2024-08-29 07:57:11.996138,1.658657,Engine running command,Engine Status,status,"rgb(255,255,51)"
